Date, Close, Volume, Open, High, Low
8/1/2019,$138.06 ,40557500,$137 ,$140.94 ,$136.93 
7/31/2019,$136.27 ,38598790,$140.33 ,$140.49 ,$135.08 
7/30/2019,$140.35 ,16846530,$140.14 ,$141.22 ,$139.80 
7/29/2019,$141.03 ,16605870,$141.50 ,$141.51 ,$139.37 
7/26/2019,$141.34 ,19037600,$140.37 ,$141.68 ,$140.30 
7/25/2019,$140.19 ,18356880,$140.43 ,$140.61 ,$139.32 
7/24/2019,$140.72 ,20738280,$138.90 ,$140.74 ,$138.85 
7/23/2019,$139.29 ,18034590,$139.76 ,$139.99 ,$138.03 
7/22/2019,$138.43 ,25080760,$137.41 ,$139.19 ,$137.33 
7/19/2019,$136.62 ,48992360,$140.22 ,$140.67 ,$136.45 
7/18/2019,$136.42 ,30808710,$135.55 ,$136.62 ,$134.67 
7/17/2019,$136.27 ,20210960,$137.70 ,$137.93 ,$136.22 
7/16/2019,$137.08 ,22726130,$138.96 ,$139.05 ,$136.52 
7/15/2019,$138.90 ,16651460,$139.44 ,$139.54 ,$138.46 
7/12/2019,$138.90 ,18936830,$138.85 ,$139.13 ,$138.01 
7/11/2019,$138.40 ,22327940,$138.20 ,$139.22 ,$137.87 
7/10/2019,$137.85 ,24204360,$137.13 ,$138.58 ,$137.02 
7/9/2019,$136.46 ,19953100,$136 ,$136.97 ,$135.80 
7/8/2019,$136.96 ,16779750,$136.40 ,$137.10 ,$135.37 
7/5/2019,$137.06 ,18141140,$135.94 ,$137.33 ,$135.72 
7/3/2019,$137.46 ,13629300,$136.80 ,$137.74 ,$136.30 
7/2/2019,$136.58 ,15237840,$136.12 ,$136.59 ,$135.34 
7/1/2019,$135.68 ,22654160,$136.63 ,$136.70 ,$134.97 
6/28/2019,$133.96 ,30042970,$134.57 ,$134.60 ,$133.16 
6/27/2019,$134.15 ,16557480,$134.14 ,$134.71 ,$133.51 
6/26/2019,$133.93 ,23657750,$134.35 ,$135.74 ,$133.60 
6/25/2019,$133.43 ,33327420,$137.25 ,$137.59 ,$132.73 
6/24/2019,$137.78 ,20628840,$137 ,$138.40 ,$137 
6/21/2019,$136.97 ,36727890,$136.58 ,$137.73 ,$136.46 
6/20/2019,$136.95 ,33042590,$137.45 ,$137.66 ,$135.72 
6/19/2019,$135.69 ,23744440,$135 ,$135.93 ,$133.81 
6/18/2019,$135.16 ,25934460,$134.19 ,$135.24 ,$133.57 
6/17/2019,$132.85 ,14517790,$132.63 ,$133.73 ,$132.53 
6/14/2019,$132.45 ,17821700,$132.26 ,$133.79 ,$131.64 
6/13/2019,$132.32 ,17200850,$131.98 ,$132.67 ,$131.56 
6/12/2019,$131.49 ,17092460,$131.40 ,$131.97 ,$130.71 
6/11/2019,$132.10 ,23913730,$133.88 ,$134.24 ,$131.28 
6/10/2019,$132.60 ,26477100,$132.40 ,$134.08 ,$132 
6/7/2019,$131.40 ,33885590,$129.19 ,$132.25 ,$128.26 
6/6/2019,$127.82 ,21458960,$126.44 ,$127.97 ,$125.60 
6/5/2019,$125.83 ,24926140,$124.95 ,$125.87 ,$124.21 
6/4/2019,$123.16 ,29382640,$121.28 ,$123.28 ,$120.65 
6/3/2019,$119.84 ,37983640,$123.85 ,$124.37 ,$119.01 
5/31/2019,$123.68 ,26646770,$124.23 ,$124.62 ,$123.32 
5/30/2019,$125.73 ,16829610,$125.26 ,$125.76 ,$124.78 
5/29/2019,$124.94 ,22763140,$125.38 ,$125.39 ,$124.04 
5/28/2019,$126.16 ,23128360,$126.98 ,$128 ,$126.05 
5/24/2019,$126.24 ,14123360,$126.91 ,$127.42 ,$125.97 
5/23/2019,$126.18 ,23603810,$126.20 ,$126.29 ,$124.74 
5/22/2019,$127.67 ,15396490,$126.62 ,$128.24 ,$126.52 
5/21/2019,$126.90 ,15293260,$127.43 ,$127.53 ,$126.58 
5/20/2019,$126.22 ,23706930,$126.52 ,$127.59 ,$125.76 
5/17/2019,$128.07 ,25770540,$128.31 ,$130.46 ,$127.92 
5/16/2019,$128.93 ,30112220,$126.75 ,$129.38 ,$126.46 
